months_active,avg_sessions,avg_spend,country,churn
34,4.59,152.66,BR,0
22,6.4,85.96,US,0
24,6.04,88.83,BR,0
32,2.93,69.61,US,1
21,4.84,95.28,IN,0
28,5.07,65.1,NG,0
30,2.89,65.55,US,0
8,5.52,105.39,GB,0
2,3.28,37.97,DE,0
11,6.94,107.59,DE,0
10,5.39,113.57,JP,0
31,5.18,106.63,US,0
32,3.82,111.78,CA,0
1,4.76,111.91,JP,0
18,,69.19,GB,0
29,2.74,76.82,US,0
5,5.73,36.48,GB,0
28,0.74,86.5,GB,0
5,6.69,109.71,NG,0
17,1.51,98.16,IN,0
29,6.51,77.53,CA,1
11,3.31,50.09,JP,0
12,6.56,68.19,US,0
10,5.26,82.46,IN,0
26,1.93,80.88,US,0
9,7.5,84.91,JP,0
35,7.88,119.13,CA,0
16,4.87,,CA,0
17,4.45,80.53,GB,0
18,4.68,88.47,GB,0
21,3.05,80.72,GB,1
20,7.2,104.58,BR,0
18,3.91,128.16,CA,0
35,4.9,119.04,GB,0
29,3.41,94.73,IN,0
28,3.75,50.82,BR,0
25,2.44,95.81,US,0
22,7.51,46.52,NG,0
12,4.69,40.9,GB,0
35,6.93,130.7,DE,0
17,5.03,100.62,JP,0
8,3.61,64.88,NG,0
30,4.35,54.12,IN,0
6,3.88,57.62,US,0
31,5.02,82.77,US,0
22,4.25,102.94,US,0
5,4.4,123.44,IN,0
2,2.24,63.43,DE,0
16,3.39,58.18,CA,0
2,8.31,43.91,IN,0
5,3.66,63.74,JP,0
19,2.89,75.61,GB,0
34,5.67,76.2,JP,0
17,7.81,92.85,DE,0
29,2.09,61.26,US,0
33,4.58,128.86,NG,0
29,3.74,120.71,IN,0
23,1.48,108.41,US,0
16,6.47,73.52,NG,0
18,,96.85,GB,0
10,5.14,71.56,IN,0
18,3.5,70.62,IN,0
14,5.91,73.1,CA,0
9,3.92,,IN,0
35,4.71,67.69,NG,0
1,2.78,78.02,US,0
4,2.57,56.44,JP,0
7,7.67,82.99,US,0
34,3.99,125.81,BR,0
25,5.58,50.63,US,0
31,4.93,79.93,BR,0
8,4.12,74.28,JP,0
26,3.98,100.96,US,0
13,6.26,71.82,IN,0
18,4.4,108.32,NG,1
1,4.7,,GB,0
22,5.04,58.68,IN,0
30,7.35,81.11,GB,0
24,6.36,114.84,BR,0
6,5.77,83.21,JP,0
19,3.87,35.01,IN,0
10,2.24,101.28,NG,0
34,6.9,123.0,GB,0
31,6.93,138.12,NG,0
7,4.72,60.6,DE,0
18,6.08,79.42,NG,0
33,6.56,77.85,GB,0
30,6.66,166.08,DE,0
25,6.84,92.72,US,0
23,4.09,127.51,CA,0
2,8.03,56.29,NG,0
26,2.51,91.56,IN,0
17,6.72,45.42,NG,0
4,5.99,60.2,IN,1
9,6.75,102.26,BR,0
19,8.76,63.4,JP,0
26,7.97,127.93,DE,0
18,2.71,86.81,IN,0
22,1.62,54.36,IN,0
31,6.63,91.24,US,0
25,2.97,75.95,IN,0
13,4.98,76.8,IN,0
23,6.68,80.9,US,0
21,1.71,58.8,US,0
4,0.78,49.14,BR,1
3,5.52,41.72,IN,0
24,5.09,59.28,NG,0
14,4.51,76.87,CA,0
21,5.08,109.96,IN,0
12,3.28,34.36,BR,0
8,1.97,64.62,BR,0
6,4.67,,US,1
14,3.06,50.01,US,0
29,1.71,110.42,JP,0
15,6.01,70.07,BR,0
14,4.88,116.45,JP,0
21,5.81,70.24,US,0
35,3.02,109.22,BR,0
14,3.68,70.33,JP,0
21,3.0,63.85,JP,0
16,3.23,91.96,US,0
22,5.39,,BR,0
16,3.43,92.87,DE,1
23,5.71,90.7,NG,0
20,5.68,61.05,US,0
24,9.05,98.87,IN,0
34,2.21,97.63,JP,0
6,6.78,98.1,BR,0
20,4.82,63.4,BR,0
16,4.97,80.65,CA,0
13,2.1,27.8,IN,0
9,4.08,87.29,US,0
2,6.49,41.58,DE,0
15,4.84,34.93,US,0
29,5.16,96.22,US,0
4,,93.49,BR,0
15,,48.16,CA,0
34,4.96,75.99,BR,0
34,0.6,73.72,GB,0
8,3.62,40.4,IN,1
1,1.06,63.34,BR,1
24,0.2,59.12,NG,0
1,3.94,43.01,BR,0
11,7.67,96.95,JP,0
18,5.09,65.45,BR,0
31,2.65,104.66,US,0
4,3.12,38.31,BR,1
24,7.26,66.65,BR,0
19,5.32,40.2,US,0
5,5.1,115.27,GB,0
30,4.89,90.23,JP,0
30,5.08,104.79,US,0
17,6.61,86.15,BR,0
34,6.11,110.06,NG,0
22,5.43,91.22,DE,0
32,2.91,143.39,IN,0
34,6.02,79.88,DE,0
20,3.63,44.14,BR,0
10,7.19,54.67,GB,0
6,2.46,29.98,BR,1
20,4.72,104.49,US,0
7,4.99,91.37,JP,0
27,2.35,64.24,CA,1
33,8.44,75.95,US,0
9,7.92,71.73,IN,0
20,4.07,118.96,US,0
2,6.54,0.0,JP,0
7,5.76,85.96,CA,0
14,0.2,40.41,US,0
31,5.5,126.96,IN,0
34,4.88,76.05,US,0
23,5.17,83.38,BR,0
21,2.85,44.66,CA,1
20,4.46,60.72,US,0
3,4.64,99.85,US,0
14,7.38,105.75,BR,0
35,5.67,96.13,BR,0
15,4.99,58.72,NG,1
8,8.06,32.4,DE,0
9,3.89,60.68,US,0
25,4.22,89.78,DE,0
2,1.37,53.71,CA,0
34,8.14,108.8,NG,0
31,6.93,76.48,US,0
20,6.83,89.43,JP,0
17,6.34,85.28,IN,0
27,5.22,127.71,NG,0
20,,134.25,US,0
17,4.5,78.22,JP,0
12,4.59,56.72,US,0
16,5.11,80.35,BR,0
27,,87.27,GB,0
2,6.11,49.12,BR,1
1,4.88,61.94,US,0
26,3.84,64.72,US,0
14,3.73,91.28,IN,0
29,8.21,102.72,US,0
2,6.01,73.68,IN,0
32,5.14,96.66,US,0
5,4.31,48.59,BR,0
15,2.78,51.26,DE,0
34,4.87,97.03,BR,0
4,6.75,57.95,IN,1
24,4.21,95.18,US,0
26,4.55,92.45,IN,0
15,4.56,,NG,0
3,5.22,68.33,IN,0
19,1.81,43.76,DE,0
16,4.53,65.11,NG,0
31,3.29,88.07,DE,0
24,6.77,43.84,JP,0
13,3.46,76.53,CA,0
3,6.15,72.76,IN,0
21,8.05,91.37,NG,0
10,4.37,62.32,IN,1
24,3.8,78.95,US,0
31,5.38,76.24,DE,0
13,5.0,71.35,GB,0
32,3.01,82.12,CA,1
19,5.92,89.9,US,0
